common_name,pubchem_id,flavor_profile,detail_url,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,IUPACName
CID 18219546,18219546,sweet,,18219546,C19H27N3O6,393.4,CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,CCC(C)C(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-[(1-carboxy-2-phenylethyl)amino]-3-methyl-1-oxopentan-2-yl]amino]-4-oxobutanoic acid
CID 18219566,18219566,sweet,,18219566,C19H27N3O6,393.4,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-[(1-carboxy-2-phenylethyl)amino]-4-methyl-1-oxopentan-2-yl]amino]-4-oxobutanoic acid
CID 18219603,18219603,sweet,,18219603,C18H25N3O6S,411.5,CSCCC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,CSCCC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-[(1-carboxy-2-phenylethyl)amino]-4-methylsulfanyl-1-oxobutan-2-yl]amino]-4-oxobutanoic acid
CID 18219610,18219610,sweet,,18219610,C16H21N3O6,351.35,CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-(1-carboxyethylamino)-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid
CID 18219612,18219612,sweet,,18219612,C17H22N4O7,394.4,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-[(3-amino-1-carboxy-3-oxopropyl)amino]-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid
CID 18219613,18219613,sweet,,18219613,C17H21N3O8,395.4,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NC(CC(=O)O)C(=O)O)NC(=O)C(CC(=O)O)N,2-[[2-[(2-amino-3-carboxypropanoyl)amino]-3-phenylpropanoyl]amino]butanedioic acid
CID 18219615,18219615,sweet,,18219615,C18H23N3O8,409.4,C1=CC=C(C=C1)CC(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CC(=O)O)N,2-[[2-[(2-amino-3-carboxypropanoyl)amino]-3-phenylpropanoyl]amino]pentanedioic acid
CID 18219616,18219616,sweet,,18219616,C18H24N4O7,408.4,C1=CC=C(C=C1)CC(C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)C(CC(=O)O)N,5-amino-2-[[2-[(2-amino-3-carboxypropanoyl)amino]-3-phenylpropanoyl]amino]-5-oxopentanoic acid
CID 18219617,18219617,sweet,,18219617,C15H19N3O6,337.33,C1=CC=C(C=C1)CC(C(=O)NCC(=O)O)NC(=O)C(CC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NCC(=O)O)NC(=O)C(CC(=O)O)N,3-amino-4-[[1-(carboxymethylamino)-1-oxo-3-phenylpropan-2-yl]amino]-4-oxobutanoic acid
CID 18219619,18219619,sweet,,18219619,C19H27N3O6,393.4,CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,CCC(C)C(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,2-[[2-[(2-amino-3-carboxypropanoyl)amino]-3-phenylpropanoyl]amino]-3-methylpentanoic acid
